gene_name	regulator	sign
yqcF	spo0A	1
ywkB	sigA	1
ywkB	malR	1
ytcD	ytcD	0
resD	sigA	1
resD	resD	1
resD	phoP	1
resD	ccpA	-1
yugJ	spx	1
nrdI	sigA	1
nrdI	resD	1
nrdI	nrdR	0
yfhS	sigE	1
yfhS	sigG	1
yfhS	sigA	1
yfhS	yfhP	-1
yfhS	spoVT	-1
yfhS	rsfA	1
ybfP	sigW	1
ybfP	abrB	-1
iolJ	sigA	1
iolJ	iolR	-1
iolJ	ccpA	-1
yrkE	yrkD	0
pbpX	sigX	1
pbpX	sigM	1
pbpX	sigW	1
pbpX	lexA	0
frlM	frlR	-1
frlM	codY	-1
yqgY	ccpA	0
yezD	cymR	-1
ycgM	sigE	1
ycgM	spo0A	1
ycgM	putR	1
ycgM	codY	-1
ycgM	spoIIID	1
ycgM	ccpA	-1
yveG	padR	-1
ganR	lacR	0
yybI	sigE	1
ydjO	sigW	1
ydjO	sigE	1
abnA	sigA	1
abnA	ccpA	-1
abnA	araR	-1
rapF	sigH	1
rapF	comA	1
rapF	ccpA	-1
yolB	abrB	-1
yngHB	sigE	1
yngHB	spoIIID	-1
yngHB	ccpA	0
yocM	sigE	1
lpdV	sigL	1
lpdV	codY	-1
lpdV	bkdR	1
lpdV	tnrA	-1
ytfJ	sigF	1
narI	sigA	1
narI	fnr	1
gcvPB	Gly-box	-1
gcvPB	spoVT	1
gcvPB	T-box-GLY	-1
ycgN	sigE	1
ycgN	spo0A	1
ycgN	putR	1
ycgN	codY	-1
ycgN	spoIIID	1
ycgN	ccpA	-1
rplF	stringent response	-1
yopL	ccpA	-1
dacC	sigH	1
dacC	sigB	1
bacC	sigH	1
bacC	scoC	-1
bacC	codY	-1
bacC	abrB	-1
ycxC	ycxD	0
ctaD	sigA	1
ctaD	resD	1
ctaD	ccpA	-1
ctaD	abrB	-1
ctaD	abh	-1
ctrA	codY	-1
kinB	sigA	1
kinB	stringent response	1
kinB	codY	-1
kinB	abrB	-1
yhbJ	sigG	1
yhbJ	comK	1
yusE	spo0A	1
ysnF	sigB	1
yjfB	sigD	1
kamA	sigE	1
yesX	yesS	1
yesX	ccpA	0
sdpA	spo0A	1
sdpA	rok	-1
sdpA	abrB	-1
yngE	sigE	1
yngE	spoIIID	-1
yngE	ccpA	0
spsA	sigK	1
yozN	sigE	1
rsiX	sigX	1
rsiX	sigA	1
rsiX	yvrHb	1
yndF	sigG	1
yndF	spoVT	-1
spoIIGA	sigG	1
spoIIGA	sigF	1
spoIIGA	sigA	1
spoIIGA	spo0A	1
spoIIGA	sinR	-1
spoIIGA	spoVT	-1
spoIIGA	rsfA	1
spsF	sigK	1
ccpN	yqfL	-1
epsD	sigA	1
epsD	sigH	1
epsD	sinR	-1
epsD	eAR	0
epsD	abrB	-1
menB	sigA	1
mmgA	sigE	1
mmgA	ccpA	-1
mmgA	spoIIID	-1
ybfJ	sigE	1
accA	spo0A	1
yqhG	sigF	1
yqhG	lexA	0
ypbR	fur	-1
ypiF	sigH	1
ypiF	ccpA	-1
mreD	sigM	1
mreD	sigH	1
yphE	abrB	-1
lmrB	sigA	1
lmrB	lmrA	-1
lmrB	qdor	0
gcaD	sigA	1
gcaD	stringent response	-1
thiX	sigK	1
thiX	Thi-box	-1
yueE	sigK	1
jag	sigA	1
metE	sigA	1
metE	S-box-SAM	-1
ypqP.1	sigK	1
rapC	sigA	1
rapC	sigH	1
rapC	comA	1
