SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
Paraq_2,Paraq,19,oxidative,oxidative,10min after paraquat addition (E19_2),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
Paraq_3,Paraq,19,oxidative,oxidative,10min after paraquat addition (E19_2),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
H2O2_1,H2O2,19,oxidative,oxidative,10min after H2O2 addition (E19_3),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
H2O2_2,H2O2,19,oxidative,oxidative,10min after H2O2 addition (E19_3),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
H2O2_3,H2O2,19,oxidative,oxidative,10min after H2O2 addition (E19_3),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
GM+5_1,GM+5,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 5 min after malate addition (E20_3),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+15_1,GM+15,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 15 min after malate addition (E20_5),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+25_1,GM+25,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 25 min after malate addition (E20_6),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+45_1,GM+45,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 45 min after malate addition (E20_7),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+60_1,GM+60,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 60 min after malate addition (E20_8),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+90_1,GM+90,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 90 min after malate addition (E20_9),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+120_1,GM+120,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 120 min after malate addition (E20_10),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+150_1,GM+150,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 150 min after malate addition (E20_11),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+5_2,GM+5,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 5 min after malate addition (E20_3),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+10_2,GM+10,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 10 min after malate addition (E20_4),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+15_2,GM+15,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 15 min after malate addition (E20_5),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+25_2,GM+25,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 25 min after malate addition (E20_6),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+45_2,GM+45,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 45 min after malate addition (E20_7),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+60_2,GM+60,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 60 min after malate addition (E20_8),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+90_2,GM+90,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 90 min after malate addition (E20_9),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+150_2,GM+150,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 150 min after malate addition (E20_11),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+5_3,GM+5,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 5 min after malate addition (E20_3),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
GM+10_3,GM+10,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 10 min after malate addition (E20_4),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
