PanelName,perfermance_f1score,frequency_score,effectSize_score,pairwise_distance_GRN,n_regulators_GRN,closeness_centrality_GRN,pairwise_distance_CEN,n_modules_CEN,betweenness_centrality_CEN
panel268,0.944169960474308,0.0107481559536354,0.786105585312831,3.14285714285714,17,0.312515140601905,0.177423834805584,9,0.00296527385350165
panel269,0.938982213438735,0.0103032431799555,0.786105585312831,3.19047619047619,16,0.314928142115676,0.190617568615115,9,0.00205046562887617
panel270,0.944664031620553,0.0104056902002107,0.786105585312831,3.2,15,0.31814547746737,0.1697129184213,8,0.00230510033952448
panel271,0.921936758893281,0.0100858046063526,0.716122883573609,3.2,14,0.324001920732039,0.17607564339261,7,0.00230085822946001
panel272,0.921936758893281,0.0110642781875659,0.701094102010809,3.2,14,0.324001920732039,0.154229557084462,6,0.00262766935100127
panel273,0.933300395256917,0.234351949420443,0.984611083755968,2.14285714285714,25,0.375648478290028,0.0967601042892755,5,0.00475661185393442
panel274,0.933300395256917,0.240487062404871,0.968891549309627,2.13333333333333,20,0.372555248022621,0.0998219563536291,4,0.00493236753330251
panel275,0.950345849802372,0.252239199157007,0.968891549309627,2.2,17,0.370853322974333,0.108156203438028,4,0.00374586102380408
panel276,0.938982213438735,0.250037633599277,0.754220186535494,2.2,17,0.370853322974333,0.109149233427977,4,0.00361461136156055
panel277,0.927865612648221,0.24868282402529,0.714175582170685,2,15,0.382634100547088,0.104276295805304,3,0.00403895580266171
panel278,0.950345849802372,0.158482613277134,1.00727992430409,2.76190476190476,16,0.339303981279803,0.113052492159503,5,0.00205081502999055
panel279,0.944664031620553,0.16754478398314,0.964243289380618,2.6,14,0.348737901006769,0.117842820644821,5,0.00208986838821093
panel280,0.950098814229249,0.173472075869336,0.957627953927754,2.6,14,0.348737901006769,0.124523804325603,5,0.00214553473159508
panel281,0.950345849802372,0.191931356314918,0.957627953927754,2.7,12,0.344784403224244,0.1307980933714,5,0.00165552376104255
panel282,0.934041501976285,0.191780821917808,0.86269236055451,3,9,0.337529943996637,0.135425760754911,5,0.00186875975231266
panel283,0.922677865612648,0.203582718651212,0.813958002586821,2.66666666666667,8,0.351498548660347,0.144070213807473,5,0.00118498869030106
panel284,0.928359683794466,0.138566912539515,1.10786383087404,2.76190476190476,24,0.350979480847406,0.110023990578254,5,0.00290991626308243
panel285,0.934041501976285,0.124224329703782,0.98063974286413,2.76190476190476,24,0.350979480847406,0.108222553292135,4,0.00271495044125728
panel286,0.93947628458498,0.117360379346681,0.98063974286413,2.86666666666667,19,0.343774751006229,0.116172057775627,4,0.00265746790396174
panel287,0.900444664031621,0.110115911485774,0.98063974286413,3.33333333333333,10,0.323394758991295,0.107203728704023,3,0.00324652445349428
panel288,0.961462450592885,0.277871443624868,1.05385585299194,5.46666666666667,14,0.304475548433744,0.0982334976561493,4,0.011530195261602
panel289,0.950592885375494,0.292471607540101,1.03715082570486,6.2,11,0.28915768346768,0.104724462813334,4,0.0112086147785255
