run,size,performance,genes
run28_2,9,0.95602766798419,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run28_3,8,0.950592885375494,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run28_4,7,0.955780632411067,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run28_5,6,0.933794466403162,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run28_6,5,0.917490118577075,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run29_1,10,0.938982213438735,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run29_2,9,0.950345849802372,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run29_3,8,0.944664031620553,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run29_4,7,0.93354743083004,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run29_5,6,0.922677865612648,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run29_6,5,0.905879446640316,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run30_4,10,0.922677865612648,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run30_7,7,0.90044466403162,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run31_0,10,0.900444664031621,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run31_1,9,0.911561264822134,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run31_2,8,0.923171936758893,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run31_3,7,0.905879446640316,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run31_4,6,0.905632411067194,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run32_4,10,0.944169960474308,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run32_5,9,0.949851778656126,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run32_6,8,0.938735177865613,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run32_7,7,0.938982213438735,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run32_8,6,0.922183794466403,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run33_2,10,0.93354743083004,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run33_3,9,0.922183794466403,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run33_4,8,0.911561264822134,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run33_5,7,0.917243083003953,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run34_0,10,0.939229249011858,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run34_1,9,0.933794466403162,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
run34_2,8,0.944911067193676,pcp;ydfQ;thiL;yflP;yhaM;spoVE;yoaE;yrbC;ccpA;licR
