SMMPr_1,SMMPr_2,SMMPr_3,HiOs_1,HiOs_2,HiOs_3,SMM_1,SMM_2,SMM_3,Salt_1,Salt_2,Salt_3
BSU00760,12.084,11.9461,12.1862,12.4219,12.0722,12.2017,12.4201,12.3262,12.3414,11.4919,11.3311,11.631
BSU00770,11.9792,11.9961,12.0728,12.4165,12.0697,12.2531,12.3726,12.4301,12.3292,11.4693,11.271,11.4697
BSU00780,12.1732,12.2597,12.5211,12.6418,12.1084,12.5225,12.7015,12.4139,12.3897,11.566,11.4054,11.6414
BSU00790,12.2386,12.0888,12.3448,12.6744,12.4531,12.5051,12.5902,12.537,12.4426,11.5461,11.5525,11.5713
BSU00800,12.4798,12.5426,12.4615,12.939,12.66,12.9571,13.0001,13.0233,13.0111,12.6707,12.3905,12.5849
BSU00810,13.09,12.9669,13.2781,13.3419,13.1125,13.1221,13.4754,13.3983,13.4712,12.9931,12.7435,13.1643
new_88050_89566_c,7.7125,7.7855,7.5328,7.7297,9.1513,8.3519,7.8443,7.9903,7.6048,7.9712,7.8532,7.3748
new_88636_88726,13.2987,13.4055,13.4709,13.3627,13.146,13.2135,13.6499,13.5151,13.6017,13.1775,13.0429,13.2338
BSU00820,13.1428,13.2749,13.4199,13.1531,12.8757,13.0709,13.4755,13.4821,13.5114,13.084,12.9358,13.1286
new_90318_90535,15.0233,15.0945,14.593,14.4751,13.7496,14.5137,15.3164,15.6076,15.2424,14.4928,13.9575,14.3992
new_101212_101289,8.8922,8.8632,8.9416,8.4754,8.7102,8.7272,9.3225,9.5983,10.4532,9.8017,10.3028,9.7906
BSU00830,13.1193,13.4791,13.5313,13.2823,12.8109,13.122,12.9278,12.9468,12.869,14.9236,14.8879,15.0342
BSU00840,12.6928,12.9147,12.9212,12.671,12.3468,12.6228,12.2623,12.2636,12.2614,14.6097,14.5475,14.5338
BSU00850,12.8094,13.0927,13.1989,12.7569,12.5329,12.5672,12.3799,12.3932,12.4143,14.6663,14.4468,14.6805
BSU00860,13.2222,13.3853,13.223,13.0511,12.7787,12.9255,12.5366,12.5709,12.554,14.7058,14.6724,14.638
BSU00870,12.3565,12.6153,12.5996,12.1325,11.7315,12.0373,12.0908,12.157,11.8663,14.0433,13.9228,14.026
BSU00880,12.6885,12.8172,13.0298,12.5825,12.2577,12.3331,12.6106,12.4894,12.3371,14.171,14.1011,14.3221
