LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,G135_1,G135_3,G150_1,G150_2,G150_3,G180_1,G180_2,G180_3
BSU00920,14.3785,14.3335,14.0448,14.3715,14.4279,14.5091,14.3839,12.5752,14.0037,14.3514,14.4942,14.0441,14.4539,13.3404
new_112499_112799,13.9774,13.6865,14.155,14.219,14.0061,14.476,13.79,12.5592,13.4772,14.0354,14.0759,13.1214,13.702,12.3805
BSU00930,12.4668,12.435,12.2406,12.8872,12.6553,12.7018,12.517,10.6395,12.3354,12.7342,12.6013,12.2504,12.7251,11.4109
BSU00940,12.6883,12.6401,12.7037,12.7261,12.6028,12.7453,12.7622,10.7768,12.5778,12.9236,13.1679,12.655,13.103,11.8135
BSU00950,12.8564,12.6076,12.7049,12.8806,12.721,12.7834,13.0337,10.8076,12.7402,13.0701,13.3363,12.936,13.5665,11.9732
BSU00960,12.8244,12.7133,12.6111,12.9589,12.5532,12.7438,12.7672,10.6978,12.6319,12.9691,13.1273,12.7123,13.2735,11.5656
BSU00970,12.9572,12.99,12.8472,12.9898,12.9481,13.05,13.0641,11.1083,12.9223,13.2755,13.3553,12.9728,13.5046,11.9428
BSU00980,14.1397,14.2065,13.8056,13.9675,13.9498,13.7674,13.6568,11.6458,13.7465,14.0771,13.9683,13.6516,13.8914,12.7241
new_117257_117348,14.219,14.5364,13.9883,13.9686,13.9408,14.0599,13.5958,12.3227,13.8849,14.199,14.0418,13.7159,13.7157,13.2109
BSU00990,13.763,13.9211,13.2455,13.8303,13.6126,13.7487,13.5725,11.9526,13.2841,14.0559,14.0907,13.8526,14.3784,13.2095
BSU01000,13.4482,13.4828,12.9695,13.6201,13.3839,13.395,13.3176,11.649,12.8806,13.61,13.4661,13.5208,13.7619,12.6327
new_117712_117889,14.4988,13.7041,13.426,14.3234,13.487,13.8502,14.483,12.1675,14.1519,14.8303,14.659,14.3523,14.7496,13.908
BSU01010,14.5848,13.7564,13.6956,14.6547,13.9615,14.3908,14.8567,13.015,14.4969,14.9247,14.7607,14.5518,14.9153,13.9809
new_118452_118590,16.4845,16.4879,16.4708,16.4464,16.4831,16.4747,16.4692,16.4593,16.4804,16.4837,16.4774,16.4722,16.4854,16.4639
BSU01020,16.4877,16.4921,16.4797,16.4754,16.4876,16.4788,16.477,16.4672,16.4904,16.4941,16.4872,16.481,16.4995,16.4784
new_119017_119110,16.4885,16.487,16.4773,16.4565,16.4878,16.4793,16.4605,16.4518,16.4864,16.4926,16.4849,16.4801,16.4989,16.4748
BSU01030,16.4835,16.4782,16.4692,16.4694,16.4807,16.4767,16.4716,16.441,16.4696,16.4915,16.4822,16.4761,16.4959,16.4677
BSU_misc_RNA_3,16.4891,16.4946,16.4811,16.4791,16.4892,16.4794,16.4854,16.4682,16.4922,16.4952,16.488,16.4826,16.5013,16.4871
BSU01040,16.4877,16.4926,16.4802,16.4479,16.4869,16.4786,16.4772,16.4664,16.4911,16.4944,16.4881,16.4819,16.4997,16.4848
BSU01050,16.4794,16.4845,16.469,16.4614,16.4767,16.4708,16.4699,16.4577,16.4786,16.4877,16.4806,16.4778,16.4937,16.4765
BSU01060,14.1655,13.4266,13.1173,14.0719,13.8283,14.1953,14.7063,12.9996,14.0059,15.2596,14.6595,14.6103,15.0045,13.9849
new_121686_121918,16.4868,16.1311,16.3062,16.3229,16.0654,16.434,16.4866,15.8178,16.4821,16.4943,16.459,16.4743,16.495,16.3837
BSU01070,15.5732,15.1746,15.0846,15.5611,15.253,15.742,15.9277,14.6772,15.5908,16.2451,16.0206,15.7185,15.9697,15.0497
