SMMPr_1,SMMPr_2,SMMPr_3,HiTm_1,HiTm_2,HiTm_3,BMM_1,BMM_2,BMM_3,Heat_1,Heat_2,Heat_3
new_129162_129283,15.9758,16.2277,16.2656,15.9093,15.6969,15.791,16.1657,16.0404,16.0114,16.3778,16.108,16.2438
BSU01090,16.4236,16.4502,16.4187,16.0165,16.4725,16.4616,16.4635,16.4465,16.2385,16.4532,16.3131,16.394
new_129589_129701,16.3881,16.2973,16.362,16.1002,16.4478,16.4426,16.4542,16.4106,16.0208,16.3715,16.2415,16.3378
BSU01100,16.4173,16.2668,16.2504,16.2047,16.4132,16.4101,16.4348,16.4192,15.9638,16.1861,15.9204,16.0242
BSU01110,16.5025,16.48,16.4779,16.477,16.4896,16.4872,16.4959,16.4892,16.4836,16.4795,16.4912,16.4783
BSU01120,16.4668,16.4483,16.4357,16.4481,16.4603,16.4611,16.4699,16.4589,16.4191,16.4353,16.3738,16.3886
new_132763_132881,16.4602,16.4685,16.4203,16.4462,16.4642,16.4707,16.484,16.4506,16.4212,16.4272,16.0762,16.2738
BSU01130,16.0934,16.1831,16.4076,16.3852,16.3922,16.3977,16.3013,16.1913,16.3588,16.4218,16.3087,16.2243
BSU01140,9.6288,9.8208,9.9429,9.7725,10.3074,10.4404,10.6267,10.589,10.7425,11.4496,11.0469,11.3883
new_135170_135363,16.3311,16.369,16.3772,16.4138,16.4418,16.2964,16.4711,16.4568,16.3833,16.299,16.3344,16.1326
BSU01150,16.3952,16.2683,16.4118,16.3665,16.3358,16.0614,16.4681,16.4721,16.4549,16.3401,16.3307,16.1898
BSU01160,15.6524,16.0376,15.6993,15.8519,15.8497,15.6933,16.2768,16.3031,16.2097,16.2534,16.2683,15.8189
BSU01170,16.4466,16.3383,16.4436,16.4678,16.3098,16.2264,16.4528,16.4732,16.3561,16.4477,16.4468,16.3666
BSU01180,16.4108,16.3882,16.4408,16.3556,16.4164,16.4005,16.4682,16.4608,16.3895,16.386,16.3484,16.2779
BSU01190,16.4873,16.46,16.4655,16.4725,16.477,16.4611,16.492,16.4862,16.4599,16.4708,16.4609,16.4349
BSU01200,16.4351,16.2848,16.4426,16.4195,16.41,16.4162,16.4382,16.4559,16.3249,16.4198,16.3951,16.4104
BSU01210,16.0967,16.0771,16.0759,16.2161,16.0218,16.049,16.4355,16.4258,15.9677,16.2077,16.3742,16.1123
BSU01220,15.9232,15.9002,16.011,16.1358,15.8114,15.8553,16.4776,16.4507,16.3025,16.4245,16.395,16.1279
BSU01230,15.8478,15.8031,15.7892,16.1121,15.8934,15.9529,16.4377,16.37,16.1769,16.2137,15.8714,15.7282
BSU01240,16.0183,16.2843,16.3623,16.3034,15.9103,15.9465,16.4646,16.3851,16.4303,16.3717,16.2844,16.3484
BSU01250,16.3171,16.278,16.4161,16.3358,16.1378,16.3215,16.3943,16.2,16.4054,16.3862,16.2552,16.3929
BSU01260,15.941,16.2294,16.0718,16.233,16.1004,16.2837,16.3674,16.3005,16.4269,16.4062,16.3725,16.269
BSU01270,16.1185,16.2719,15.8453,16.3507,16.2319,16.2547,16.318,16.3436,16.2431,16.3874,16.1483,16.2778
BSU01280,15.6381,15.6318,15.8094,16.044,15.734,15.9074,16.3049,16.2853,16.231,16.3391,15.8795,15.9568
BSU01290,15.7949,15.9709,16.1278,16.3379,15.9278,16.0432,16.4293,16.4267,16.4305,16.4395,16.3876,16.1373
BSU01300,16.1898,16.4091,16.019,16.4313,16.3556,16.4222,16.4486,16.4406,16.406,16.4323,16.2225,16.1135
BSU01310,15.7268,16.1221,16.1272,16.0382,15.8577,16.1035,16.4083,16.4001,16.1639,16.3965,16.0434,16.0076
BSU01320,15.8207,16.0547,16.1114,16.2585,15.9227,16.0275,16.4138,16.4117,16.0063,16.3537,16.1172,16.0064
BSU01330,15.7793,15.8268,16.2508,16.4034,16.28,16.158,16.3909,16.4468,16.3749,16.3583,16.0928,16.2282
BSU01340,16.2276,15.8797,16.3486,16.4313,16.1405,16.1828,16.4655,16.4522,16.4293,16.4679,16.3682,16.3592
BSU01350,15.526,15.6911,16.0185,15.9065,15.7867,15.9487,16.2729,16.2077,16.2424,15.9064,15.9736,15.6602
BSU01360,15.4752,15.6131,15.6699,15.7413,15.5305,15.6497,16.1609,16.1396,15.901,15.8771,15.5473,15.6492
BSU01370,15.8668,15.8456,15.9819,16.3031,15.7715,15.9255,16.248,16.2232,16.4008,16.3742,16.2796,16.2302
BSU01380,15.6102,15.6253,15.5297,15.4256,15.8158,15.7121,16.2526,15.7715,16.0023,15.4661,15.5776,15.3052
BSU01389,16.0132,16.3526,16.4006,16.4487,16.2929,16.3571,16.413,16.4607,16.4541,16.4566,16.3688,16.4459
BSU01390,15.9526,16.2592,16.4115,16.3182,15.8646,16.1819,16.3989,16.4569,16.4207,16.4516,16.3813,16.4296
BSU01400,15.9104,16.137,16.2881,16.0953,15.866,16.1508,16.4451,16.4555,16.4389,16.4385,16.4127,16.4128
BSU01410,16.2371,16.3338,16.3723,16.3465,16.2956,16.4153,16.4461,16.4626,16.4175,16.3919,16.3551,16.2886
BSU01420,15.7818,15.934,16.0518,16.3422,16.0945,16.0372,16.4293,16.4403,16.1424,16.4508,16.3066,16.0128
new_148755_148930,15.6506,15.9253,16.185,16.3597,15.8929,15.8572,16.296,16.2116,16.0203,16.3048,15.6262,15.3832
BSU01430,16.0793,16.1223,16.1951,16.319,16.115,15.8922,16.3514,16.416,16.3686,16.354,16.0714,16.0695
