T-5.40H_1,T-4.40H_1,T-3.40H_1,T-2.40H_1,T-1.40H_1,T-1.10H_1,T-0.40H_1,T0.0H_1,T0.30H_1,T1.0H_1,T1.30H_1,T2.0H_1,T2.30H_1,T3.0H_1,T3.30H_1,T4.0H_1,T5.0H_1
BSU00560,11.823,11.6606,11.4751,11.379,11.1112,11.2578,10.9293,10.9723,9.7183,9.3507,9.2565,9.4176,10.0107,9.7981,10.5412,10.9696,10.6614
BSU00570,10.3793,10.2339,10.1227,10.0015,9.8896,10.0074,9.7026,9.5509,8.6777,8.5357,8.4013,8.548,8.8148,8.398,8.7506,8.6516,8.3803
BSU00580,13.3129,12.9489,12.8384,12.5392,12.3959,12.5695,12.3772,12.3082,11.5238,11.2086,10.8082,10.5312,11.2963,10.8066,11.046,10.852,9.9003
BSU00590,13.3324,12.9724,12.7116,12.6123,12.3734,12.5083,12.2925,12.3406,11.3818,10.9397,10.7421,10.5405,11.2264,10.7619,11.0052,10.8546,10.1093
BSU00600,13.0936,12.8002,12.675,12.3956,12.2109,12.4063,12.0115,12.105,10.8501,10.5475,10.1549,10.228,11.5142,12.0266,12.4401,12.7318,12.3169
BSU00610,13.3057,12.9529,12.8866,12.5405,12.4346,12.7114,12.1822,12.4303,11.767,11.8133,11.4082,11.1018,12.2604,12.2269,12.9029,12.9406,12.5844
BSU00620,14.3532,14.3095,14.2036,14.2412,14.5874,14.6974,14.8738,14.6443,14.6899,14.0262,13.8701,13.9026,14.7006,14.47,14.6328,14.4119,14.1926
BSU00630,14.792,14.8512,14.7831,14.555,14.6782,14.6781,14.95,14.7508,14.4589,13.8708,13.659,13.4874,14.4491,14.1547,14.4558,14.5766,14.0474
new_70382_70493,10.1225,10.131,9.5809,9.0969,9.2376,9.3701,9.6067,8.8924,8.3679,7.9559,8.2448,8.4226,8.0709,7.8642,8.2173,7.9081,8.2421
BSU00640,10.0057,9.5455,8.9375,8.6372,8.5699,8.9038,8.9311,8.7674,9.0517,8.6879,9.8826,11.2285,12.6627,12.7496,13.687,14.0986,14.4137
new_71190_71799_c,8.2645,7.8569,7.428,7.1713,7.1761,6.8876,6.9231,6.9023,7.755,7.529,7.8032,8.0871,8.5946,8.9973,9.691,9.3526,9.74
BSU00650,10.7545,10.3111,10.1543,9.5886,9.9089,10.1096,10.1054,10.1198,9.8981,9.4703,10.0419,11.0172,12.4489,12.7079,13.5003,14.0484,14.1539
BSU00660,9.7633,9.0789,8.7778,8.6686,8.5739,8.6349,8.4888,8.4446,8.3988,7.8842,8.4225,9.2311,10.4289,10.6374,11.53,12.0603,12.1089
BSU00670,12.9322,12.8447,12.7564,12.5625,12.6233,12.7956,12.8235,12.5171,10.8414,10.7673,10.7601,11.2077,12.3148,12.0852,12.7927,13.0616,12.7407
BSU00680,14.4678,14.2392,14.025,13.9244,13.9759,13.8188,13.9123,13.68,12.3919,12.3942,12.1334,12.0841,13.1623,12.9737,13.4098,13.5925,13.1477
new_76887_76983,14.6523,14.3734,14.4138,14.0951,14.2284,13.9725,14.0846,13.983,12.8365,12.7272,12.2994,12.1211,13.4054,13.1667,13.5011,13.7052,13.2315
BSU00690,15.2042,15.1036,15.046,14.8606,14.8659,14.6327,14.836,14.6687,13.2986,13.1765,12.9301,13.1036,14.0998,13.8155,14.2217,14.3131,13.8163
new_78940_79025,10.3382,10.4372,9.5738,10.0333,10.0309,10.1087,10.4851,9.596,8.6093,7.9697,8.2006,8.4409,8.1833,8.074,8.3319,8.3369,8.1476
new_79027_79091,12.0234,11.1648,11.7166,11.3735,11.5205,11.5233,11.5628,11.2797,10.2637,10.0083,9.7777,8.3597,10.6084,10.2691,10.3735,10.262,9.9495
BSU00700,11.9484,11.6658,11.706,11.4427,11.4662,11.7457,11.537,11.0645,10.291,9.7945,9.6863,9.6929,10.3208,9.8763,10.2021,10.251,9.7971
BSU00710,11.7646,11.5773,11.5643,11.3669,11.447,11.6529,11.3434,11.0463,9.8168,9.6279,9.4133,9.5405,10.199,9.6937,9.9908,9.9953,9.5596
BSU00720,11.8403,11.5888,11.5867,11.397,11.214,11.4597,11.1773,10.9781,11.0184,10.5503,10.4112,10.1928,10.9385,10.2271,10.6009,10.5563,10.0753
BSU00730,13.7416,13.6213,13.7396,13.4849,13.2058,13.228,13.1072,13.0359,11.9634,11.6965,11.3889,11.3397,12.2616,11.8648,12.1706,12.2632,12.0298
BSU00740,12.1855,11.7036,11.7267,11.51,11.5501,11.7595,11.5069,11.3904,11.7829,11.2867,11.1625,10.8658,11.5536,10.9852,11.2652,11.1454,10.2874
