LBexp_1,LBexp_2,LBexp_3,BT_1,BT_2,B36_1,B36_2,B60_1,B60_2
new_176316_176924,10.5804,9.9917,9.8512,7.9943,7.5687,7.9892,7.8556,7.8272,8.1741
new_176926_177082,12.7312,12.2825,11.9642,8.7218,8.0042,9.6346,9.7393,10.8298,11.3565
BSU01580,11.7937,11.3652,10.7928,8.5605,8.003,8.8877,9.296,9.9586,10.1105
BSU01590,10.3818,10.4161,10.3361,10.0096,9.4154,9.5918,9.5955,9.7118,9.738
BSU01600,11.5227,12.6905,12.5285,8.9595,8.1955,12.4025,12.2542,11.9895,11.8046
BSU01610,11.9507,13.0302,12.9382,9.1421,8.4824,12.8571,12.4524,12.1617,12.145
BSU01620,12.3466,13.4588,13.3525,9.6969,8.9279,13.4382,13.0818,13.3193,13.134
BSU01630,13.9191,15.262,15.1434,11.1971,10.4532,14.9279,14.6644,14.7431,14.8599
BSU01640,11.3914,12.3366,12.1162,9.4882,8.9889,11.018,11.259,11.7808,11.8798
BSU01650,7.7251,7.748,7.8791,11.6836,11.4468,12.348,12.5119,11.796,11.685
BSU01660,7.8087,7.8995,8.1205,11.5246,11.2954,12.1328,12.3673,11.7382,11.5288
BSU01670,8.1828,8.5733,8.8302,11.7346,11.471,12.2156,12.356,11.8626,11.7179
BSU01680,8.3562,9.7483,9.2335,11.4808,11.0468,11.8585,12.2412,11.6943,11.6263
BSU01690,10.0328,11.3362,10.7852,11.4399,11.3471,11.9921,12.3888,12.0678,12.1476
BSU01700,10.5451,11.8665,11.2433,11.3894,11.3093,11.5771,11.9873,11.709,11.983
BSU01710,8.8713,10.0933,9.5145,8.8544,8.5927,9.175,9.3155,9.451,9.9719
BSU01720,9.2772,10.3732,9.6676,8.7192,8.6693,9.3098,9.3941,9.7211,10.2839
new_194669_194786,10.4615,11.4798,9.9277,7.5114,7.4083,7.1683,7.1538,7.1197,8.6102
BSU01730,14.3754,14.1596,13.8448,14.0837,13.3491,14.4915,14.1956,14.7009,14.365
BSU01740,14.3016,14.2096,13.8805,14.0086,13.3069,14.2877,14.2274,14.7616,14.4558
new_196132_196212,13.7603,13.4582,13.2636,10.5574,10.008,11.4416,11.2036,12.5209,12.779
BSU01750,13.3857,13.3455,13.0187,10.7921,10.159,11.7499,11.6334,12.3226,12.5326
BSU01760,13.7204,13.4533,13.3064,11.5064,10.7435,12.8033,12.5513,12.5574,12.5713
BSU01770,13.8422,13.5987,13.4449,11.4344,10.9898,11.9028,11.796,11.548,11.5243
new_200188_200276,15.3859,15.2106,14.846,14.9081,13.9898,14.3035,13.8287,15.1061,15.5666
BSU01780,15.1514,15.2301,14.9993,14.4144,13.7401,14.149,13.8958,14.9723,14.789
new_201802_202546_c,8.9468,9.1278,8.8307,9.8457,9.6136,9.9136,9.9174,9.639,10.4152
BSU01800,9.8992,10.1353,9.6333,10.231,9.6855,10.4161,10.5415,10.3379,10.8782
BSU01810,8.3227,8.2466,8.2078,8.6317,8.268,8.5651,8.475,8.5823,8.8544
BSU01820,8.2607,8.396,8.2309,8.6968,8.1753,8.6369,8.5895,8.7294,8.7071
new_204891_204975,8.693,8.8708,8.849,9.3302,8.4579,9.2793,9.0841,9.3266,9.479
new_204977_205210,13.3843,14.1381,12.796,11.1997,10.8569,10.7382,10.3957,12.5354,13.3167
new_205212_205408,8.3375,8.4604,8.7213,7.776,7.4426,7.0951,7.1529,8.4853,9.2332
BSU01830,7.6572,7.6157,7.8122,7.2716,7.1575,7.3465,7.1273,7.6129,7.6446
BSU01845,8.0699,7.8357,7.8604,7.7507,7.3879,8.2374,7.8689,7.8267,7.7452
new_209557_209632,8.4168,7.7992,8.2389,8.1263,7.8503,8.6425,7.9725,8.0993,8.1454
BSU01860,8.7657,8.4945,8.5511,8.3128,8.0063,8.8614,8.236,8.2859,8.448
BSU01870,9.0151,8.7534,8.7157,8.3988,8.1158,8.6905,8.2319,8.3414,8.5439
BSU01880,9.0014,8.8239,8.8001,8.5147,8.2643,8.3403,8.0983,8.3,8.5497
new_210947_211412,8.0306,7.9081,7.7877,8.1014,7.5775,7.5762,7.4647,7.5876,8.0841
BSU01889,12.3184,11.4581,10.934,10.356,9.8814,10.172,10.4714,10.1296,10.9438
new_211769_211858,7.3564,7.7103,7.4919,7.5801,7.3862,7.3458,7.4168,7.0267,7.8589
BSU01890,8.1009,8.2636,8.0087,8.7404,8.7268,9.4752,9.1765,10.3085,9.9972
BSU01900,7.2395,7.0217,7.2216,7.0427,6.9572,6.8438,6.8294,7.1187,7.3208
new_213878_213940,10.4571,10.1898,10.616,15.7303,14.9749,15.8319,15.9838,15.8292,16.0448
