LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
BSU00470,13.5721,13.4764,12.8276,10.7903,10.7525,10.4886,13.9622,13.3972,13.3305,11.6302,11.2005,10.8243,13.5128,13.2166,13.0831,9.5177,9.3103,9.0214
BSU00480,14.2647,14.1637,14.2311,12.5864,12.3737,11.9763,14.2728,14.2569,14.308,13.0449,12.7035,12.3196,14.4761,14.2881,13.8576,11.1452,11.1693,10.9938
new_55707_55815,9.4652,9.5134,9.1389,8.5122,8.6029,8.6406,9.1337,10.8044,9.2549,8.6025,8.5063,8.469,9.5429,9.3264,8.9255,9.4655,9.2266,9.0761
BSU00490,13.6726,14.5267,14.3072,16.4224,16.4276,16.4343,12.9592,13.2377,12.7063,12.4178,11.7946,13.1446,15.7874,15.464,14.8815,16.2049,15.8465,15.6363
new_56193_56304,8.3894,9.315,8.9338,11.057,11.1258,10.9643,8.0045,8.2142,8.1276,7.6995,8.3835,8.4443,9.5371,9.285,8.7392,11.5057,10.8007,10.6536
BSU00500,15.435,14.9446,14.8062,12.6844,12.245,12.0577,15.4414,15.6863,15.4444,14.9721,14.144,14.3018,14.7189,14.2919,14.1956,12.1055,11.2091,11.3101
BSU00510,15.1898,14.8964,14.8082,12.9335,12.8996,12.801,15.398,15.311,15.3973,14.497,13.8618,14.0823,14.2879,13.9797,13.905,11.6081,10.7355,10.6548
BSU00520,15.0438,14.8697,14.6602,13.0759,13.1378,13.5522,15.2363,15.0456,15.2029,14.2821,13.3988,14.0017,15.0321,14.6552,13.5547,13.8638,15.7084,15.5634
BSU00530,12.8832,12.6621,12.3611,10.2319,10.162,9.9665,13.1275,12.7871,12.8823,9.9077,9.415,10.2681,12.5449,12.1911,11.6831,11.4608,11.2593,11.5169
BSU00540,12.9327,12.6372,12.4533,10.4337,10.4066,10.0985,12.9896,12.678,13.055,10.194,9.6784,10.4193,12.6264,12.2324,11.8776,11.7737,11.1701,11.1423
new_60361_60429,12.7472,12.5264,12.2486,10.5848,10.3747,10.1036,12.9253,12.0852,12.8321,10.3531,9.8652,10.4875,12.6771,12.279,11.9306,11.1986,10.4912,10.7079
BSU00550,12.7674,12.4758,12.2297,10.6254,10.4877,10.3285,12.8865,12.2107,12.7523,10.6911,9.9863,10.7163,12.3577,11.8628,11.6624,10.2176,9.5986,9.6608
new_64001_64098,12.4969,12.3395,12.33,10.6437,10.7613,10.3437,12.5911,12.0369,12.7146,10.771,9.9036,10.6827,12.0046,11.5582,11.3178,10.2626,9.3881,9.1655
BSU00560,12.3765,12.1406,12.0018,10.3137,10.323,10.0374,12.4055,11.7348,12.4085,10.5615,9.5733,10.5799,11.7526,11.3114,11.1488,9.798,8.9602,8.7245
BSU00570,11.5076,10.9041,10.512,8.8231,8.6149,8.4892,11.6578,11.0195,11.5287,11.0641,10.5302,9.7675,10.5524,10.0984,9.8402,8.0292,8.2673,7.8586
BSU00580,13.074,13.016,12.802,12.2228,11.8148,11.5432,12.7613,12.6761,12.7696,13.4601,12.8901,11.9917,13.0998,12.729,12.5974,9.1434,9.1531,8.8854
BSU00590,13.1459,13.0522,12.7167,12.2487,11.8553,11.5597,13.0802,12.6758,13.0357,13.4115,12.8707,12.5857,13.1388,12.7942,12.5341,9.486,9.5459,9.2369
BSU00600,13.107,12.8722,12.7514,12.1201,11.8477,11.6148,13.0449,12.5728,12.9385,13.0163,12.3611,11.8856,12.8321,12.3501,12.1501,12.7257,11.0517,10.8858
BSU00610,13.0881,12.8318,12.7636,12.3922,12.0252,11.3463,12.9895,12.6522,12.92,11.9339,11.3628,11.3399,12.6671,12.416,12.2162,12.2904,11.2642,11.1087
BSU00620,14.0566,13.9809,13.5484,13.4851,12.8873,12.3153,13.6435,13.8852,13.5633,12.7699,12.5551,12.6582,14.1782,13.6898,13.5648,14.1052,13.4556,13.1239
BSU00630,14.8354,14.6357,14.051,13.8023,13.4348,12.8816,14.7788,14.8376,14.7511,13.2877,12.7448,13.1011,14.726,14.3664,14.2232,13.3488,13.1116,12.891
new_70382_70493,10.3668,10.1174,9.7293,7.4257,7.7045,7.5353,10.1273,8.3477,8.911,10.0174,9.8436,8.2441,9.3756,9.1988,9.108,8.0535,8.1199,7.7033
BSU00640,9.2097,8.2854,8.2734,7.5375,7.72,7.7111,9.0794,7.9574,8.4955,9.4809,9.501,8.2336,8.6658,8.4008,8.0106,13.7294,12.6574,12.5724
new_71190_71799_c,7.1094,6.9703,7.1858,7.0585,7.3317,7.4121,7.0942,7.1007,7.0666,7.26,7.2917,7.641,7.1631,7.2536,7.0044,10.2576,8.9512,8.7735
BSU00650,9.2397,9.0453,8.5918,8.8203,8.6931,8.8797,8.9668,8.8146,9.0073,9.5211,9.3293,8.5862,9.77,9.4896,9.0853,13.5317,11.976,12.3921
BSU00660,8.8276,8.4799,8.3339,7.79,7.9249,7.8773,8.8077,8.638,8.7301,8.1183,7.7816,8.3339,9,8.8076,8.3055,11.4665,10.2439,10.0568
BSU00670,13.2391,13.3449,12.7777,12.6568,12.1239,11.8281,13.1024,12.4454,12.6419,11.7178,11.4451,12.4392,12.8922,12.5044,12.1436,11.5711,10.8537,10.539
