Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
BSU00210,12.8772,12.8384,12.8861,12.1215,12.1922,12.1204,12.4444,13.0333,12.6826,12.7747,12.8412,11.764,12.4457,12.9451,12.9215,12.5131,12.5383,12.3532,12.7228,11.9483,11.9407,12.7907,11.5948,12.7129,12.601,12.4315,11.3576,12.0982,12.0674,11.7305,11.9314,12.4566,12.5849,12.5874
BSU00220,12.2404,12.2119,12.3023,11.6621,11.6036,11.8731,12.0179,12.1433,12.3685,12.1032,12.1504,11.5999,11.9094,11.987,12.1133,11.9195,12.0373,11.75,11.8367,11.435,11.903,12.3829,11.4284,11.7458,11.806,11.9334,10.7724,11.5514,11.7507,11.3302,11.4102,11.5283,12.2923,11.6656
BSU00230,11.525,11.6511,11.5186,10.2829,10.1879,10.6353,10.6045,11.3637,11.0167,10.9573,10.8571,9.7816,10.7128,11.3397,10.7473,10.8999,10.6303,10.6064,11.1513,10.3765,10.3728,11.0794,9.969,11.0711,10.9864,10.8008,9.7911,10.2616,10.4727,9.9579,10.2968,10.5873,10.9887,10.3994
new_30076_30278,15.427,14.7628,15.7681,14.6758,14.4529,14.5152,15.0877,15.8915,15.5452,15.3487,15.4508,15.0824,15.8914,14.8999,15.1079,14.6158,14.5716,14.9529,15.9485,14.5869,14.3029,16.3134,13.7046,14.3041,14.203,14.7776,13.4885,14.6333,14.7469,13.2829,14.3645,15.1724,16.0598,15.4076
new_35104_35236,12.5597,12.6414,13.1166,11.0764,11.243,11.6419,11.6168,12.9314,12.6089,12.7625,12.833,11.6453,12.3133,12.0442,11.5241,12.0496,12.0319,12.1787,12.4371,11.3295,11.6333,12.8214,11.6687,11.3974,11.6611,11.7866,10.8436,11.5267,11.0737,10.2407,10.6563,11.94,12.2924,12.3936
new_35356_35458,12.1338,12.4406,12.238,10.4371,10.3192,10.6024,10.7909,11.4045,11.396,11.4189,11.426,11.0312,11.3879,10.7027,10.9719,10.5534,10.6053,10.6445,11.0217,10.1684,10.6217,11.6172,9.5476,10.8254,10.6648,10.6038,9.6874,10.3902,10.6375,10.1321,10.3636,11.3128,11.6987,11.7159
BSU00240,11.9639,12.3314,11.9801,10.3849,10.1175,10.35,10.5833,10.965,11.3133,11.0507,11.1072,10.4522,10.971,10.2045,10.7139,10.3837,10.3117,10.359,10.6728,9.9567,10.1242,11.0585,9.3335,10.5436,10.3714,10.3542,9.3331,10.2405,10.4641,10.1384,10.1855,10.5768,11.409,10.8846
BSU00250,12.3443,12.1803,12.5461,11.9543,11.9666,12.3596,12.044,12.7511,12.4779,12.4209,12.4424,11.4403,12.6228,12.4679,12.6744,12.4242,12.0814,11.9274,12.4677,11.5298,11.6728,12.5942,11.722,12.8629,12.7682,12.7409,11.2363,11.9801,11.7796,11.1673,11.6429,12.2762,12.6217,12.6524
BSU00260,12.2005,12.1044,12.2257,11.6671,11.655,12.0098,11.7433,12.0317,12.0706,11.963,12.1442,11.3155,12.0006,12.2239,12.2316,12.1292,11.7607,11.5181,11.9965,11.1454,11.2918,12.114,11.4556,12.2924,12.2681,12.4531,10.9265,11.6161,11.5239,11.1967,11.4584,11.8897,12.0872,12.2294
new_37639_37719,12.0033,11.8064,11.8886,11.4675,11.221,11.5526,11.5724,11.8193,11.9735,11.7133,11.9432,10.8704,11.4321,11.8945,11.9805,11.806,11.4864,11.3929,11.679,10.7718,10.785,11.803,11.1229,12.1086,11.9836,12.1822,10.7831,11.5527,11.2127,10.7586,11.0139,11.5177,11.6626,11.8551
BSU00270,11.7725,11.8504,11.7808,11.2225,11.073,11.1213,11.4319,11.6956,11.6639,11.5494,11.6448,10.4849,11.138,11.7817,11.7954,11.7158,11.3557,11.2886,11.6205,10.6602,10.6449,11.4967,10.6023,11.6923,11.7512,11.8337,10.5409,11.183,10.9721,10.7544,10.6816,11.2958,11.1694,11.3549
