M0t45_1,M0t45_2,M0t45_3,M0t90_1,M0t90_2,M0t90_3,M40t45_1,M40t45_2,M40t45_3,M40t90_1,M40t90_2,M40t90_3
BSU01350,15.9486,15.9291,16.1336,11.4603,12.7113,11.8101,15.806,15.3644,15.8387,11.9692,12.9276,12.3728
BSU01360,15.7022,15.7245,15.6296,11.2261,12.6306,11.7389,15.5359,15.0893,15.8877,11.868,12.8064,12.3219
BSU01370,16.0678,16.0352,16.0757,11.7116,13.0787,12.0314,16.2393,15.5994,16.2403,12.2707,13.1249,12.6882
BSU01380,15.6132,15.5353,15.6489,11.5342,12.8677,11.9676,15.64,14.9738,16.0921,11.8884,12.9154,12.4986
BSU01389,16.4174,16.2674,16.4866,12.6373,13.9874,12.929,16.4047,16.21,16.4807,12.9761,13.8468,13.6241
BSU01390,16.3538,16.4335,16.4853,12.6723,13.6484,12.7761,16.4368,15.8167,16.4759,12.8526,13.7854,13.3456
BSU01400,16.4244,16.4457,16.4856,12.8666,13.7949,13.0296,16.4321,16.0131,16.4703,13.0983,13.7663,13.7082
BSU01410,16.4402,16.4114,16.4919,12.9501,13.9647,13.4693,16.4331,16.23,16.4564,13.3691,14.199,14.0981
BSU01420,16.3586,16.1696,16.1807,12.6906,13.2688,13.1273,16.2213,15.5894,16.4427,13.2357,13.8777,13.773
new_148755_148930,16.1314,16.0542,16.0434,12.6376,13.7418,13.2722,16.0753,15.669,16.435,13.2386,13.8993,13.9264
BSU01430,16.3458,16.1793,16.4189,12.9859,13.9552,13.3722,16.2299,15.965,16.4232,13.4187,14.1227,14.1456
BSU01440,16.4613,16.4632,16.4738,13.273,14.0055,13.3863,16.4518,16.2173,16.4536,13.2649,14.1494,13.8883
new_150362_150442,12.282,14.518,13.0711,10.166,10.9641,10.6463,12.6329,10.9711,13.4295,9.9196,10.3523,11.269
BSU01450,11.6087,13.6913,12.2366,9.1306,10.2545,9.7496,11.6855,10.029,12.3489,9.3665,10.0298,10.0663
BSU01460,11.3489,13.3867,12.0517,9.2778,10.2424,9.7314,11.3566,10.0876,12.1287,9.3221,10.1559,10.1915
BSU01470,11.3104,13.2972,11.9185,9.041,10.142,9.6639,11.2935,10.2162,12.3074,9.2277,10.0391,10.0117
