SMMPr_1,SMMPr_2,SMMPr_3,LoTm_1,LoTm_2,LoTm_3,BMM_1,BMM_2,BMM_3,Cold_1,Cold_2,Cold_3
BSU00900,12.2435,12.2668,12.6141,12.8769,13.0358,12.7983,12.5898,12.3219,12.9175,13.1281,12.5396,12.0001
BSU00910,11.3233,11.3922,11.6249,11.7239,11.4957,11.448,12.3557,12.1912,12.1052,11.8085,10.7017,10.3243
BSU00920,13.3403,13.3646,13.5541,13.0178,12.5945,12.7523,14.049,13.8736,13.9822,13.6168,12.9733,12.4959
new_112499_112799,12.9837,12.5949,12.7002,12.6437,12.0512,12.7012,13.9111,13.6397,12.7009,13.3861,11.6259,11.4016
BSU00930,11.3225,11.4661,11.6778,11.0415,10.6922,10.89,12.6608,12.6708,12.1483,11.7769,10.7337,10.348
BSU00940,11.4897,11.6758,11.871,11.0933,10.8744,11.0765,12.7564,12.7052,12.6379,12.0344,11.3362,10.8544
BSU00950,11.5972,11.9498,12.168,11.44,10.9961,11.1803,13.1065,12.8946,12.8246,12.4159,11.8816,11.4008
BSU00960,11.8397,11.9605,11.9822,11.4763,11.0677,11.146,12.971,12.8106,12.6293,12.4233,11.6371,10.9055
BSU00970,12.1504,12.2798,12.3752,11.8084,11.3954,11.4184,13.3771,13.16,13.044,12.8734,12.1107,11.4865
BSU00980,14.5725,14.7435,14.7326,15.2336,15.1995,14.8053,14.3035,14.2723,14.2294,15.154,14.6817,14.1829
new_117257_117348,14.5564,14.472,14.8242,15.1285,14.9181,14.8659,14.0582,13.9548,14.1474,14.9394,14.5381,13.8634
BSU00990,13.8349,13.8466,13.9184,14.5246,14.4373,14.1552,13.769,13.3821,14.0056,14.487,14.2325,13.8229
BSU01000,13.3739,13.3279,13.5214,14.4032,14.2797,13.8417,13.3379,13.2269,13.3257,14.3003,13.9433,13.5529
new_117712_117889,12.9864,12.8315,12.8904,14.6495,14.4432,14.4182,14.0422,13.8116,13.5551,15.4327,14.8947,13.7373
BSU01010,13.1486,12.9113,13.1903,14.5673,14.3706,14.4393,14.1464,13.9467,13.6865,15.2923,14.41,13.8587
new_118452_118590,16.4753,16.4646,16.4617,16.4476,16.4584,16.4573,16.4894,16.4795,16.447,16.4729,16.3877,16.1508
BSU01020,16.4954,16.4629,16.4725,16.4396,16.3753,16.3108,16.4934,16.4744,16.4695,16.4898,16.4671,16.3609
new_119017_119110,15.8541,15.9529,16.3187,15.7882,15.725,15.8273,16.3828,16.3751,16.4168,16.4887,16.4652,16.3231
BSU01030,15.9938,16.2489,16.4243,15.5539,15.6286,15.5522,16.4323,16.2782,16.325,16.4874,16.4441,16.2999
BSU_misc_RNA_3,16.4944,16.4796,16.4777,16.42,16.3461,16.3449,16.4977,16.4924,16.48,16.492,16.4734,16.4104
BSU01040,16.4612,16.4545,16.4736,16.0204,15.864,15.5703,16.4942,16.4878,16.4764,16.4899,16.4693,16.3271
BSU01050,16.4011,16.3667,16.4635,15.53,15.4898,15.2185,16.4512,16.4118,16.4666,16.4759,16.4491,16.3573
BSU01060,12.9134,12.8899,13.0474,12.063,11.5493,11.6703,13.5581,13.4519,13.292,14.433,13.6331,12.9104
new_121686_121918,15.4506,15.2444,15.6603,16.2127,16.2552,16.1646,16.2116,16.0301,16.3105,16.4922,16.3239,15.8529
BSU01070,14.8357,14.8763,14.9659,15.0243,14.7221,14.8327,15.2484,15.2092,15.0968,15.6748,15.1703,14.5405
BSU01080,15.1544,15.1745,15.3108,15.3064,15.1095,15.1285,15.4836,15.4044,15.5325,16.0262,15.4462,15.2134
new_129162_129283,15.9758,16.2277,16.2656,16.438,16.0858,16.0938,16.1657,16.0404,16.0114,16.4562,16.1292,15.0505
BSU01090,16.4236,16.4502,16.4187,16.4388,16.1498,16.3834,16.4635,16.4465,16.2385,16.4633,16.3592,15.8162
new_129589_129701,16.3881,16.2973,16.362,16.2564,16.2295,16.0217,16.4542,16.4106,16.0208,16.4528,16.2887,15.7228
BSU01100,16.4173,16.2668,16.2504,16.2983,16.2635,16.0106,16.4348,16.4192,15.9638,16.4425,15.9448,15.6916
BSU01110,16.5025,16.48,16.4779,16.4867,16.4858,16.5003,16.4959,16.4892,16.4836,16.4901,16.4738,16.4703
BSU01120,16.4668,16.4483,16.4357,16.4118,16.2921,16.3413,16.4699,16.4589,16.4191,16.4706,16.4417,16.3251
